1e+09 587.91 979.59 0.26309 1.9703
1e+09 46.224 837.04 1.3902 0.56766
1e+09 746.25 410.91 1.5125 1.5243
1e+09 126.36 912.58 1.9697 0.87421
1e+09 633.32 433.38 1.6749 0.19628
1e+09 98.932 94.627 1.9499 0.47414
1e+09 939.1 599.18 1.1877 1.8706
1e+09 271.29 762.71 1.9184 0.9513
1e+09 261.72 884.09 0.29504 1.9171
1e+09 594.84 612.32 0.51936 1.6406
1e+09 708.65 514.95 0.37097 1.025
1e+09 915.68 293.44 0.39867 1.8898
1e+09 941.09 252.37 0.20767 0.40772
1e+09 723.36 761.88 0.053705 1.4852
1e+09 817.83 639.22 0.21076 1.8587
1e+09 428.6 347.61 1.4338 1.0544
1e+09 487.1 513.82 1.4654 0.12696
1e+09 259.56 607.21 1.2164 1.9578
1e+09 586.99 880.91 1.392 1.3723
1e+09 448.4 954.92 0.10864 0.52584
1e+09 306.97 170.57 0.71371 0.94653
1e+09 771.58 310.19 1.0325 1.6848
1e+09 929.08 99.696 0.66566 0.2082
1e+09 460.72 908.53 1.6396 1.7307
1e+09 675.67 228.52 1.0042 0.603
1e+09 964.08 197.27 1.8959 0.63175
1e+09 425.92 57.331 1.6861 1.8742
1e+09 563.28 525.65 0.52619 0.64675
1e+09 458.31 303.31 0.24607 0.55243
1e+09 534.32 158.4 1.469 1.8695
1e+09 137.05 616.86 0.4226 0.14583
1e+09 716.36 962.93 1.3286 0.70058
1e+09 241.93 262.42 0.63905 0.33217
1e+09 994.84 565.14 1.3804 0.13764
1e+09 422.28 140.63 1.9585 1.7102
1e+09 791.89 74.425 1.2686 0.94168
1e+09 166.67 990.71 1.3966 0.28061
1e+09 8.857 941.83 0.89488 1.7227
1e+09 654.14 620.64 0.92191 0.9272
1e+09 377.94 535.79 0.48489 1.3649
1e+09 92.128 790.48 1.3689 0.70121
1e+09 865.09 96.784 1.9473 1.4767
1e+09 129.57 487.21 0.57534 1.723
1e+09 127.94 15.461 0.55579 0.83659
1e+09 734.99 199.66 1.0417 0.98998
1e+09 337.38 451.45 1.7619 0.014344
1e+09 421.47 770.69 0.56547 0.92978
1e+09 679.21 388.93 1.5027 0.09906
1e+09 111.01 183.84 1.0494 0.63085
1e+09 320.66 263.53 0.82944 1.9871
1e+09 493.82 344.58 1.7079 0.43015
1e+09 689.34 514.11 0.87834 1.4684
